-1.8757 	0.0337
-2.0882 	0.5595
2.0424 		0.1190
-2.4599 	-0.0163
1.9449 		0.5565
2.4078 		0.9542
1.0252 		-1.4930
0.2771 		-0.2775
-2.1963 	0.3910
1.8951 		0.3476
-1.2067 	2.1146
-1.6299 	0.6501
0.0367 		0.4587
-0.9817 	1.9442
1.8546 		-0.4926
-2.3789 	-0.8495
-1.8335 	0.5390
-2.7769 	1.0382
-1.5785 	1.0936
-2.7226 	0.5414
0.0740 		-0.0212
-2.3265 	0.0256
-2.2789 	-0.2110
-1.3549 	1.0637
-0.4618 	1.3194
-1.5002 	0.9822
-0.7177 	1.0561
-0.1443 	0.4545
-1.4074 	1.2341
1.0158 		-1.2260
2.6421 		0.6042
2.2736 		0.3420
0.1861 		-0.6365
1.2733 		-1.3260
-1.7796 	0.4362
2.4938 		0.8248
0.0240 		0.3316
1.5930 		-0.8781
-2.6501 	0.2072
-2.3315 	0.0692
-2.0304 	-0.2306
-2.9798 	1.7750
-0.4056 	1.0359
-2.3238 	0.3113
-0.4707 	1.2336
1.6469 		-0.2580
-2.4023 	-0.2332
0.9414 		-0.9817
-2.2614 	0.2494
0.4140 		-0.2300
